Code,Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operation Monitoring,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-3051.02,Geothermal Production Managers,3.5,3.62,3.62,3.75,4,2.5,2.25,1,3.25,3.75,3.25,3.25,3.12,3.62,3.25,3.88,3,2.88,3.25,2,3,1.88,3.12,3.88,2.75,2.38,2.88,3.5,3.88,3.25,3.25,2,3.62,2.88,3.62
11-3051.04,Biomass Power Plant Managers,3,3.62,3.62,3.75,4,2.38,2,1.12,3,3.75,2.75,3.38,3.12,3.75,2.88,3.75,3,2.5,3.5,2.25,3.25,2.12,3.25,3.75,2.25,2.5,2.62,3.12,3.88,3.38,3.25,1.75,3.75,2.75,3.38
11-3061.00,Purchasing Managers,3.38,3.88,3.25,4,3.88,1,1,1,3.38,3.62,3.38,3.38,3.12,3.75,2.88,3.62,3.75,1.25,2.12,2.5,3.75,1.62,2.75,3.62,1,1.38,3.5,3.75,3.88,3.25,3.12,1.75,3.75,2,3.62
11-3071.01,Transportation Managers,3.12,3.88,3.75,3.88,3.88,1,1,1,3.38,3.75,3.12,2.75,2.5,3.5,2.88,3.62,3.5,1.88,2.12,3,3.5,1.38,1.12,4,1,1.5,3.25,3.75,4,3.25,3.25,1.88,3.88,1,3.62
11-3071.02,Storage and Distribution Managers,2.75,3.75,3.5,3.62,3.62,1.12,1.38,1,2.88,3.25,2.75,3.25,2.88,3.5,3,3.62,3.25,2.38,2.75,2.62,3.12,1.38,2.5,3.5,1.12,1.25,2.88,3.38,3.88,3.12,2.75,1.38,3.38,1.88,3.5
11-3071.03,Logistics Managers,3.5,3.88,3.88,3.62,3.88,1,1.25,1,2.88,3.88,3.25,3.12,3.25,3.62,3,3.75,3.62,1.88,2.75,2.75,3.5,1.75,1.88,3.88,1,1.25,3.12,3.38,3.75,3.12,3.5,1.62,4,1.5,3.75
11-3111.00,Compensation and Benefits Managers,3.5,4,3.25,3.12,3.88,1,1,1,3.12,3.75,2.88,3.25,2,3.5,3,3.38,3.12,1,1.5,3,3.12,1.38,1.5,4,1,1.38,3.12,3.5,4,3.38,3.25,1.5,3.62,1,3.5
11-3121.00,Human Resources Managers,3.5,4,3.62,3.88,3.88,1,1,1,3.38,3.75,3.25,2.88,2.62,4,2.88,3.62,3.75,1.25,1.75,2.62,3.62,2,1.75,3.88,1,1.88,3.38,4,4,3.62,3.62,1.75,3.62,1,3.5
11-3131.00,Training and Development Managers,3.75,4,3.62,4,3.88,1,1,1,4.12,3.62,4.38,3.62,2.75,3.75,2.62,3.75,3,1.12,2,2.62,3.5,1.62,2.62,3.75,1,1.62,3.5,3.75,4.38,3.38,3.25,1.62,3.62,1.75,3.5
11-9013.01,Nursery and Greenhouse Managers,3.38,3.75,3.5,3.88,3.75,1.88,2,1.12,3.75,3.75,3,3,3.12,4,2.38,3.88,3.5,2.38,2.88,2.25,3.38,1.5,2.75,3.38,1.88,2.88,3.12,3.5,4,2.75,3.12,1.62,3.62,2.25,3.12
11-9013.03,Aquacultural Managers,3.25,3.75,3.5,3.38,3.88,2.25,2.12,1.12,3,3.75,2.88,2.62,2.38,3.38,2.5,3.62,3.12,2.75,3.12,2.88,3,1.5,2.88,3.75,2.12,3.25,2.88,3.5,3.88,3.38,3.25,1.62,3.75,2.38,3.5
11-9021.00,Construction Managers,3.5,3.75,3.62,3.62,3.75,1,1.38,1,2.88,3.5,2.75,3.5,3.12,3.75,3.12,3.62,3.62,2.12,2.88,3.5,3.38,1.62,3,3.5,1,2.38,2.88,3.38,3.75,3.38,3.12,1.88,3.88,2.38,3.38
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",3.62,4,3.5,3.88,3.88,1,1.25,1,3.62,3.62,3.5,2.62,2.75,3.62,2.62,4,3.62,1.25,1.88,1.62,3.25,1.38,2,3.88,1,1.12,3.62,3.88,4,3.25,3.25,1.5,3.88,1.62,3.75
11-9032.00,"Education Administrators, Elementary and Secondary School",3.88,4.38,4,4,4.25,1,1.25,1,3.88,4.12,4.12,3.25,2.88,4,3.38,4,3.5,1.25,1.75,2.12,3.38,1.75,2.75,4.38,1,2,3.5,4.12,4.38,3.38,3.62,1.5,3.5,1.62,4.25
11-9033.00,"Education Administrators, Postsecondary",3.75,4.12,3.88,3.88,4.12,1,1,1,3.88,4,3.5,3.12,2.88,3.75,2.88,4,3.62,1,2,1.25,3.5,1.38,1,4.12,1,1.38,3.75,3.88,4.12,3.38,3.38,1.5,3.88,1,4
11-9041.00,Architectural and Engineering Managers,3.5,3.88,3.75,3.75,4,1,1.25,1.12,3.25,3.75,3.12,3,3,3.12,3.62,3.62,3.38,1.88,2.5,2.25,3.38,2,2.88,4.12,1.12,2.38,3,3.5,3.75,3.25,3.25,1.88,3.75,1.88,3.62
11-9051.00,Food Service Managers,3.5,3.62,3.12,3.88,3.88,2.12,2,1,3.5,3.38,3.12,2.88,2.88,3.75,2.75,3.75,3.25,2.25,2.75,3.38,3.38,1.38,2.62,3.5,2,2.12,4,3.75,3.88,2.88,2.75,1.5,3.75,2.25,3.25
11-9071.00,Gaming Managers,3.75,3.88,3.5,3.75,4,1,1,1,3.5,3.75,3.5,2.62,2.5,4,2.75,3.88,3.62,1.25,2,2.38,3.5,1.62,2.62,3.5,1,1.62,3.75,4,4.12,3.25,3.12,1.38,4.12,1.88,3.5
11-9081.00,Lodging Managers,3.5,4.25,3.75,4.25,4.12,2.12,2.12,1,3.62,3.88,3.38,3.38,3.38,4.12,3.25,4,3.62,2.38,2.38,1.62,3.62,1.5,2.88,3.88,2,1,4,3.88,4.12,3.38,3.5,1.5,4,2,3.62
11-9111.00,Medical and Health Services Managers,3.75,4,3.75,3.88,4,1,1,1,3.75,4,3.38,3.38,3,3.88,2.75,3.75,3.62,1,2.12,3.62,3.62,1.38,2.38,4.12,1,3,3.62,3.88,4.12,3.75,3.75,1.5,3.88,1.75,3.88
11-9121.00,Natural Sciences Managers,3.38,3.75,3.5,3.38,3.88,1,1.12,1,3,3.5,3,2.75,2.38,3.5,3,3.25,2.88,1.88,2,3.62,3.12,2,1.75,3.75,1,4,2.75,3.5,4.12,3.12,3,2.5,3.62,1,3.75
11-9121.01,Clinical Research Coordinators,3.5,4,3.5,4,3.75,1,1,1,3.25,3.62,3,2.5,2.88,3.62,2.62,3.62,3.25,1,1.88,1.38,3.25,1.62,1.38,4,1.12,2.75,3.38,3.5,3.88,2.62,2.88,1.5,3.62,1.12,4
11-9121.02,Water Resource Specialists,3.25,3.88,3.88,3.12,3.75,1,1.25,1,3,3.62,2.75,2.38,2.38,2.88,3.38,3.38,2.88,2.12,2.88,2.5,3,2,2.88,4,1,2.88,3,3,3.62,3.88,3.75,2,3.62,2.12,3.75
11-9131.00,Postmasters and Mail Superintendents,3.25,3.88,3.25,3.75,4,1,1.25,1,3,3.25,3.25,2.62,2.62,3.62,2.75,3.75,3.5,1.12,2.5,2.5,3.25,1.75,2.25,3.62,1,1.62,3.12,3.75,3.88,3,2.88,1.62,3.75,2,3.38
11-9141.00,"Property, Real Estate, and Community Association Managers",3.12,3.88,3.12,3.62,3.5,1,1.12,1,2.88,3.12,2.75,2.38,2.38,3,2.38,3.38,3.75,1.38,1.62,2.62,3.25,1.12,2.25,3.62,1,1.62,3.12,3.5,4.25,2,1.88,1.12,3,1.38,3.5
11-9151.00,Social and Community Service Managers,3.62,4.25,3.75,4,4,1,1,1,3.5,4,3.5,3.25,3,4,3.12,3.88,3.25,1.75,2,2.88,3.38,1.62,1.88,3.88,1,2.5,3.88,4,4.12,3.75,3.62,1.62,4.12,1,3.75
11-9161.00,Emergency Management Directors,3.5,3.88,4,4,4,1,1.12,1,3.75,3.88,3.75,2.75,2.88,3.38,2.88,3.75,3.5,2.12,2.12,2.88,3.5,1.62,2.38,3.88,1,2,4.12,3.62,4,3.62,3.38,1.5,3.5,1.62,3.88
11-9199.01,Regulatory Affairs Managers,3.38,3.88,3.5,3.75,3.88,1,1,1,3.5,3.88,2.88,2.12,2,3.5,2.5,3.75,3.5,1.25,1.75,3.38,3.38,1.38,1.12,4.12,1,2.5,3.12,3.38,4,3.62,3.38,1.38,3.75,1,4
11-9199.02,Compliance Managers,3.62,3.88,3.25,3.75,4,1,1,1,3.38,3.5,3.38,2.12,1.88,2.88,2.12,3.88,3.38,1.25,2,1.88,3.5,1.62,1.75,4,1,1.38,2.88,3.62,3.62,3,3,1.62,3.25,1,3.75
11-9199.04,Supply Chain Managers,3.5,4,3.88,3.88,3.75,1,1,1,3.25,3.75,3,2.88,3.5,3.38,2.88,3.88,3.5,1,1.88,2,3.5,1.5,1.5,4,1,1,3.12,3.62,4,3.62,3.62,1.62,3.62,1,3.62
11-9199.08,Loss Prevention Managers,3.5,4,3.62,3.88,4,1.12,1.12,1.12,3.75,3.88,3.38,2.12,2.38,3.5,2.5,4,3.5,2.12,2.62,1.88,3.75,1.75,2.5,4,1,1,3.5,3.62,4,3.62,3.62,1.88,3.88,2,3.88
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.5,4,3.5,3.62,3.88,1,1,1,2.88,3.25,2.5,2.38,1.88,3.38,2.25,3.12,4,1.62,1.62,2.25,4.12,1.62,1,3.88,1,1.5,3.38,4,4.12,2.5,2.25,1.38,3.75,1,3.62
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3,3.75,3.25,3.12,3.62,1,1,1,2.38,3.25,2.38,2.75,2.75,2.88,2.75,3,3.25,2.12,2.5,2.25,3.38,1.62,2.38,3.12,1,2,2.75,3.12,3.62,2.62,2.38,1.5,2.75,1.88,3
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.25,3.75,3.25,3.25,3.62,1,1.12,1,2.75,3.25,2.88,3,2.75,2.88,3.25,3.25,3.75,1.12,1.88,2.5,3.75,1.75,1.75,3.12,1,1.75,2.88,3.25,3.75,2.5,2.88,1.5,2.88,1,3
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.75,4,3.62,3.12,3.88,1,1.12,1,3,3.75,2.75,3.75,3.12,2.88,3,3.62,3.5,1,1.25,2.62,3.62,1.25,2.38,4,1,1.38,2.75,3.5,4,2.88,3,1.12,3.38,1.25,3.75
13-1031.01,"Claims Examiners, Property and Casualty Insurance",3.25,3.75,3.38,3.25,3.75,1,1,1,2.88,3.5,2.62,2.12,1.75,2.75,2.88,3.38,3.62,1.12,2.12,1.12,3.12,1.38,1.88,3.88,1,1,3.25,3.38,3.75,2.75,2.38,1.38,3,1.5,3.88
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",3.5,4,3.25,3.12,4,1,1,1,2,3.38,2.38,2.88,2.12,2.25,3.12,2.88,3.75,1.12,2,2.12,3.12,1.75,2.12,4,1,1.38,3.12,3.38,3.88,2.12,2.38,1.5,3.25,2,3.62
13-1032.00,"Insurance Appraisers, Auto Damage",2.62,3.88,2.88,2.88,3.25,1.12,1.12,1,1.88,3.12,1.75,1.75,1.38,1.88,2.5,2.38,2.62,1.75,1.75,2,2.62,1.12,2,3.62,1,1.12,3,3,3.5,2.12,2.12,1,3.12,1.62,3.62
13-1041.01,Environmental Compliance Inspectors,3.62,4.25,3.75,3.12,4,1.38,1.38,1,2.88,3.38,3.12,1.75,2,2.62,2.88,3.62,2.75,2.5,3.5,2.62,3,2.25,3.62,3.75,1.25,2.88,3.25,3.62,3.88,3.25,3.12,1.75,3.12,2.5,3.62
13-1041.02,Licensing Examiners and Inspectors,3.5,3.75,3.25,3,3.5,1.12,1.12,1.12,3,3.62,2.88,1.5,1.62,2.75,2.62,3.38,3.12,2.12,3,1.88,2.75,1.75,3,3.62,1,1.12,3.25,3.75,4,2.88,2.88,1.38,3.12,2.12,3.5
13-1041.03,Equal Opportunity Representatives and Officers,3.75,4.38,3.62,3.38,4.12,1,1.12,1,2.88,3.62,2.75,1.75,1.88,2.5,2.62,3.5,3.38,1.12,2.12,2.38,3.5,2.12,1.5,4.25,1,1.38,3.25,4,4.25,3.25,3.12,1.62,3.38,1,3.62
13-1041.04,Government Property Inspectors and Investigators,3.5,4.25,3.88,3.88,4.12,1,1.12,1,3.62,4.12,3.38,2.25,2.25,3.25,2.75,3.62,3.5,2.88,3.38,2.25,3.38,2.12,3.25,4.12,1,1.62,3.5,3.62,4.25,3.38,3.25,1.62,3.5,1.88,4.25
13-1041.06,Coroners,3.25,3.88,3.38,3.75,4,1,1.5,1,3,3.5,2.75,1.88,2,3.12,2.5,3.5,2.5,2.25,2.25,1.88,2.75,1.62,2,3.75,1,3.5,3.12,3.75,4,2.75,2.38,1.75,2.88,1.75,3.75
13-1041.07,Regulatory Affairs Specialists,3.38,3.62,3.62,3.38,3.88,1,1,1,2.88,3.62,2.62,2,1.88,2.88,2.5,3.12,3,1,2,2.62,3,2,2.25,4.12,1,1.62,2.88,3.25,3.75,3.62,3.38,1.75,3.38,1,3.88
13-1051.00,Cost Estimators,3.12,3.62,3.38,3.12,3.75,1,1,1,2.5,3.62,2.5,3.5,2.88,2.62,3.88,3,2.88,1.25,2.12,2.5,3.12,1.88,1.5,3.5,1,1.62,2.38,3.12,3.75,3.25,2.88,1.75,3.12,1,3.25
13-1071.00,Human Resources Specialists,3.12,4,3,3.38,3.62,1,1.12,1,2.75,3.25,2.75,1.5,1.75,3,2.25,3.12,2.88,1.25,1.62,1.38,2.88,1.62,1.5,3.88,1,1.25,3,3.25,4,2.5,2.38,1.5,3.12,1,3.5
13-1074.00,Farm Labor Contractors,2.38,3.38,2.75,3,3,1,1.12,1,2.62,3,2.25,1.88,1.88,3.25,2.12,2.75,2.75,2.5,2.38,1.25,2.62,1.38,1.75,2.75,1,1.25,2.62,3,3.5,2.12,1.88,1,3.12,1.75,2.75
13-1081.00,Logisticians,3.25,3.88,3.75,3.5,4,1,1,1,3,3.38,2.88,2.38,2.5,3.25,3,3.75,2.88,1.38,2.5,3.12,3.12,2.12,2.25,3.75,1,1.62,3.38,3.25,3.62,3.38,3.12,1.62,3.62,1.12,3.12
13-1081.01,Logistics Engineers,3.75,3.88,3.88,3.5,4,2.12,2.5,1,3,3.88,3.25,2.5,2.5,3.38,3.75,3.12,2.88,1.75,2.62,3.38,3.12,2.62,2.88,4.25,2.25,2.38,3,3.25,3.62,4.12,4,2.75,3.75,2.62,3.75
13-1081.02,Logistics Analysts,3.12,3.5,3.75,2.88,3.75,1,1.25,1,2.62,3.5,2.62,2.5,2.62,2.75,3.25,3.5,2.62,1.25,2.38,2.38,2.75,2,2.5,3.88,1,1.75,2.62,2.88,3.5,3.62,3.62,2.12,3,1.88,3.25
13-1111.00,Management Analysts,3.38,4.12,3.88,3.38,4,1,1.12,1,2.88,3.75,2.88,1.62,1.88,3,2.62,3.62,3,1,1.25,3.25,2.88,1.12,1.38,4.12,1,2.25,2.88,3.5,4.12,3.5,3.5,1.5,3.38,1.38,3.75
13-1121.00,"Meeting, Convention, and Event Planners",3.12,4.12,3.25,3.75,3.88,1,1,1,2.5,3.5,2.38,2.62,2.62,3.25,2.25,3.5,3.38,1.88,2.12,3.12,3.38,1.38,1.12,3.88,1.12,1.25,3.75,3.75,4,3.12,2.88,1.75,3.88,1.12,3.25
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.25,4,3.38,3,3.88,1,1,1,3,3.25,2.88,2.25,2,2.88,3,3.25,3,1.12,1.75,3.25,2.88,1.88,1.38,3.75,1,2.5,2.75,3.25,3.75,3.38,3,1.62,2.88,1,3.38
13-1151.00,Training and Development Specialists,3.5,4,3.38,3.62,3.62,1,1,1,4.12,3.62,4.12,2.12,2.25,3.38,2.25,3.88,3,1,1.75,3.5,3,1.38,1.25,4.12,1,2.5,3.62,3.75,4.25,3.12,3.25,1.62,3.62,1,3.62
13-1161.00,Market Research Analysts and Marketing Specialists,3.12,3.75,3.62,3.12,3.5,1,1,1,2.75,3.5,2.75,2.25,2,2.88,3,3.25,2.5,1.25,2,3.12,3,2.25,1.62,3.88,1,2.38,2.75,3.12,3.5,3.12,3,1.75,3,1,3.5
13-1199.01,Energy Auditors,3.25,3.75,3.38,3.25,3.75,1.12,1.62,1.12,3,3.75,2.75,2,2,2.75,3.38,3.38,2.75,2.62,2.88,3,3.12,1.38,2.5,3.88,1.25,3.12,2.88,2.88,3.75,3.38,3.12,1.62,3.25,2.25,3.62
13-1199.03,Customs Brokers,3,4,3.62,3.38,3.5,1,1.12,1,2.75,3.12,2.62,2.25,2.5,2.75,2.62,3.38,3,1.12,1.88,1.38,2.88,1.88,1.25,4,1.12,1.12,3.25,3,3.5,2.75,2.62,1.5,3.25,1.25,3.5
13-1199.04,Business Continuity Planners,3.5,3.62,3.88,3.62,4,1,1.38,1,3.12,3.75,3.38,2.88,2.62,3,2.75,3.5,3,1.25,2.38,2.5,3.12,1.75,2.88,3.62,1,1.25,3.38,3.38,3.62,3.75,3.5,2,3.12,2,3.75
13-2011.01,Accountants,3.25,3.88,3.38,3.12,3.62,1,1,1,2.5,3.5,2.75,2.38,1.75,2.62,3.88,3.12,2.75,1,1.62,2.75,2.62,1.38,1.12,3.75,1,1.88,2.75,2.88,3.62,3.12,2.75,1.5,3.38,1,3.75
13-2011.02,Auditors,3.5,3.62,3.5,3.25,3.75,1,1,1,3,3.5,3,2.5,2,3.12,3.38,3.25,3,1.12,2.12,2.75,3.12,2,2.12,3.75,1,2.12,2.88,3.12,3.62,3.25,3.25,1.62,3.25,1,3.5
13-2021.01,Assessors,3.5,3.88,3.12,2.75,3.88,1,1,1,2.5,3.38,2.25,2,1.88,2.75,3.12,3.12,2.88,2,2.25,1.88,3,1.75,2.5,4,1,1.5,3.12,3.5,3.75,2.75,2.5,1.12,3,2,3.38
13-2021.02,"Appraisers, Real Estate",3.38,3.62,3.12,2.75,3.88,1,1.12,1,2.12,3.62,2,2.38,2.38,2.12,2.88,2.88,2.62,2,2.25,1.75,2.62,1.12,1.88,3.88,1,2.38,2.62,3,3.5,2.5,2,1.12,3.5,1.5,3.62
13-2031.00,Budget Analysts,3.25,4,3.5,3,3.75,1,1,1,2.5,3.62,2.5,3,2,2.62,3.5,3,2.38,1,1.62,3,2.38,1.5,1,4,1,1.5,2.62,2.88,3.88,3.12,2.88,1.5,3.38,1,3.38
13-2041.00,Credit Analysts,3.62,3.5,3.25,2.75,4,1,1,1,2.25,3.5,2.38,2.25,1.88,2.12,3.38,2.75,2.62,1.5,1.88,2.62,2.75,2,1.5,3.5,1,1.5,3,2.75,3.5,2.88,2.75,1,2.88,1,3.12
13-2051.00,Financial Analysts,3.38,3.62,3.62,2.88,3.88,1,1,1,2.5,3.5,2.5,2.12,1.5,2.5,3.5,3.12,2.88,1,1.38,2.88,3,1.38,1,3.88,1,1.75,2.62,3,3.75,3.12,3.12,1.25,3.12,1,3.88
13-2052.00,Personal Financial Advisors,3.25,4,3.62,3,4,1,1,1,3,4,2.62,3.25,1.75,2.25,3.38,3.12,2.75,1,1.75,2.88,3.5,1.62,1.62,4,1,1.5,3.75,3.5,4,3.25,3.25,1.62,3.12,1,3.62
13-2053.00,Insurance Underwriters,3.12,3.88,3.38,3,3.75,1,1,1,2.62,3.88,2.75,1.75,1.5,2.5,2.88,2.88,2.62,1,1.75,2.38,2.62,1.38,1.12,3.88,1,1.5,2.88,3.25,3.75,3,2.88,1.5,3.38,1,3.62
13-2061.00,Financial Examiners,3.88,4.12,3.75,3.75,4.12,1,1,1,3.62,3.75,3.62,1.75,1.5,3.88,3.62,3.75,3.25,1.25,1.88,3.12,3,1.88,2.12,4.25,1,1.25,3,3.62,3.88,3.75,3.5,1.38,3.62,1,3.88
13-2071.01,Loan Counselors,3.62,4.25,3.5,3.75,4.12,1,1.12,1,3.62,3.75,3.62,2.25,2,3.12,3.25,3.38,3.12,2,2.5,2.5,3.12,1.88,1.75,4,1,1.75,3.62,3.88,4,3,2.75,1.38,3.62,1.12,3.75
13-2072.00,Loan Officers,3.12,4,3.12,3,3.75,1,1,1,3,3.88,2.75,1.75,1.62,2.88,3.12,3,2.88,1.25,1.5,1.75,2.88,1.5,1.5,3.88,1,1.12,3.38,3.25,4,2.5,2.12,1.5,3,1,3.25
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.25,4,3,3,3.88,1,1,1,2.88,3,2.88,1.88,1.75,2.38,3.12,3,2.88,1.12,1.62,1.88,3,1.62,1.75,4,1,1,3,3.12,3.88,2.38,2.38,1.5,3,1,3.38
13-2082.00,Tax Preparers,2.88,3.62,3.12,2.75,3.5,1,1.12,1,2.5,3,2.5,1.75,1.75,1.88,3.12,3.12,2.5,1.12,1.5,2.38,2.62,1.75,2.12,3.75,1,1.38,3.12,3.25,3.38,2.5,2,1.38,2.88,1.25,3
13-2099.02,Risk Management Specialists,3.25,3.88,3.38,3,3.88,1,1.25,1,2.62,3.38,2.62,2.38,2.5,2.75,3.62,3.25,2.62,1.25,2,1.75,3,2.38,1.75,4,1,1.12,2.88,3,3.75,3.75,3.62,1.88,3.12,1.12,3.62
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.62,4,3.62,3.5,4,1,1,1,3.12,3.62,2.88,2,1.88,2.88,3,3.38,3.25,1.88,2.38,1.25,3,1.5,1.38,4,1,1.38,2.88,3.38,4,2.88,2.88,1.38,3.38,1,4.12
15-1111.00,Computer and Information Research Scientists,3.38,3.5,3.88,3,3.75,1.12,1.62,1,2.62,3.62,2.75,2.5,2.38,3,3.12,3.12,2.5,1.75,2.5,3.25,2.75,3.5,1.75,3.5,1,3.12,2.75,3,3.38,3.75,3.75,2.88,3.5,2.5,3.38
15-1121.00,Computer Systems Analysts,3.25,3.5,3.38,3,3.75,1.5,2.25,1.75,2.88,3.38,2.75,2.12,2.12,2.62,3,3.12,2.5,1.88,2.75,3.25,3,3.38,3.25,3.5,1.25,2.5,3,3.12,3.5,3.5,3.38,3.12,3.12,3.12,3.38
15-1121.01,Informatics Nurse Specialists,3.75,3.5,3.62,3.5,4,1,2.25,1.5,3.5,3.62,3.38,2.12,2.5,3.12,3.12,3.5,2.88,1.75,2.75,3.5,3.25,2.75,2.88,3.75,1.25,3.12,3.38,3.12,3.62,3.75,3.75,3.12,3.38,2.5,3.5
15-1122.00,Information Security Analysts,3.25,3.5,3.75,3,3.88,1,1.12,1.5,3,3.38,2.75,1.75,1.88,3.12,2.25,3.25,3,1.75,3,2.88,2.88,2.5,3,3.88,1,2.38,3,3,3.62,3.25,3.12,2.38,3.38,2.12,3.5
15-1131.00,Computer Programmers,3.12,3.5,3.62,2.88,3.62,1,1.25,1.12,2.25,3.38,2.25,1.5,1.62,2.5,3.12,3,2.12,1.25,2.25,3.25,2.5,4.5,3.5,4,1.12,2.5,2.38,2.88,3,3.12,3.25,2.62,3.25,1.62,3.12
15-1132.00,"Software Developers, Applications",2.88,3.38,3.88,3.12,3.5,1.38,2.12,2.12,2.75,3.62,2.62,2.12,2.12,3,3.38,3.12,2.62,2.25,2.75,3.5,2.75,3.88,2.88,3.25,1.38,2.75,2.75,2.75,3.38,3.75,3.62,3.25,3.25,3.25,3
15-1133.00,"Software Developers, Systems Software",3.38,3.88,3.75,3.12,4,1,2.12,1.5,2.75,3.38,2.88,1.75,1.75,2.62,3.12,3.25,2.88,1.62,2.62,3.62,2.75,3.88,2.88,3.88,1.12,2.88,2.62,3.12,3.5,3.38,3.38,2.75,3.38,2,3.62
