Code,Title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing,Arm-Hand Steadiness,Manual Dexterity,Finger Dexterity,Control Precision,Multilimb Coordination,Response Orientation,Rate Control,Reaction Time,Wrist-Finger Speed,Speed of Limb Movement,Static Strength,Explosive Strength,Dynamic Strength,Trunk Strength,Stamina,Extent Flexibility,Dynamic Flexibility,Gross Body Coordination,Gross Body Equilibrium,Near Vision,Far Vision,Visual Color Discrimination,Night Vision,Peripheral Vision,Depth Perception,Glare Sensitivity,Hearing Sensitivity,Auditory Attention,Sound Localization,Speech Recognition,Speech Clarity
11-3051.00,Industrial Production Managers,4.25,4,4.12,3.88,3.88,4,4,4.25,3.75,3.75,3.38,3.75,3.38,2.62,2.75,3.25,3.38,0.38,3.5,3.38,2.75,2.12,1.88,2.5,2.12,2,1.62,1.62,2.5,1.5,1.38,1.38,0,1.12,2,1.38,1.25,0,1.62,0.88,3.62,3.12,2.88,0,0,1.75,0.25,2,2.88,0,3.75,3.88
11-3051.01,Quality Control Systems Managers,4.25,4.12,4,3.88,3.38,3.38,4.25,3.88,4,3.38,3.25,3.38,3.5,3.12,3,3.62,3.38,0.25,2.88,3.62,3.12,2.75,2.75,3,2.88,2,1.38,1.12,1.25,1.38,0,1.12,0,1.12,1.75,1.25,1.12,0,0.88,0.88,4,3.25,3.25,0,0,2.75,0,2.5,2.75,0,3.75,3.75
11-3051.02,Geothermal Production Managers,4.38,4.12,4.25,3.75,3.38,3.25,4.12,4,3.38,3.62,3.5,3.75,3.5,2.62,2.75,3.12,3.25,1.75,3,3.25,2.5,2.25,2.12,2.75,2.62,2.12,1.62,1.5,2.38,0.38,1.12,0.62,0.25,0.38,2,0.12,0.5,0.38,0.38,1.62,3.25,3.25,3,0.75,1.25,2,0.88,2.38,2.75,1.12,3.25,3.38
11-3051.04,Biomass Power Plant Managers,4.12,4.25,4.12,4,3.38,3.5,4.62,4,3.62,3.75,3.5,3.5,3.12,2.88,2.88,3.25,3.5,0.5,3.25,3,2.5,2.75,2.25,2.62,2.75,2.25,0.75,1.62,2.5,0.25,0.25,1.25,0.25,1.12,2,1.25,1.38,0.12,1.38,1.62,3.38,3.38,3,0,0.25,2.62,0.88,2.75,2.75,0.38,3.25,3.62
11-3061.00,Purchasing Managers,4.38,4.12,4.38,4.12,3.88,3.62,3.75,4.38,3.5,3.5,3.88,3.5,3.5,3,2.75,2.88,3.12,0,2.75,3,2.5,0.12,0,2.38,0,0,0,0,0,0.12,0,0,0,0,0.12,0.25,0,0,0,0,3.88,3,2.25,0,0,1.38,0,2,2.38,0.25,3.88,3.75
11-3071.01,Transportation Managers,4.12,4.12,4,4,3.5,3.38,3.88,4,3.75,3.75,3.12,2.88,3,2.25,2.62,2.75,2.5,0.25,2.5,2.88,2.12,0,0,1.75,1.38,1.12,0,0,0,0,0.25,0,0,0,0.12,0,0,0,0,0,3.5,2.62,1.88,0,0,1.5,0,1.75,1.75,0,3.62,3.5
11-3071.02,Storage and Distribution Managers,4,3.88,3.88,3.75,2.75,2.62,3.62,3.25,3.5,3.25,3.38,3.12,3.25,2.25,2.12,2.38,2.5,1.5,2.25,2.5,2.5,2,1.88,2,1.75,1.88,1.75,1.38,1.62,0.25,1.5,1.5,0,1.5,2.25,1.38,1.62,0,1.38,1.25,3.25,2.25,2,0.75,0.75,1.75,0.88,1.38,1.62,0.75,3.12,3.12
11-3071.03,Logistics Managers,4.12,4,4.12,4,3.5,3.38,4.12,4.12,4.12,3.5,3.88,3.25,3.38,2.62,2.75,2.75,2.38,0.38,2.62,3.12,2.75,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0.75,0.12,0,0,0,0,3.38,3,2.25,0,0,1.62,0,1.88,2.25,0.38,3.5,3.75
11-3111.00,Compensation and Benefits Managers,4.25,4.12,4,4,2.75,2.75,3.38,3.38,3.25,3.25,2.88,3.25,3.5,2.38,2.38,2.12,2.5,0,1.5,2.38,1.88,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3.38,2.12,1.5,0,0,0,0,1.25,1.38,0,3.25,3.5
11-3121.00,Human Resources Managers,4.38,4.38,4.38,4.12,4,3.88,4.12,4.25,3.62,3.5,3.75,3.62,3.62,3,3.12,3,2.88,0,2.62,2.75,2.62,0.12,0,2.38,0,0,0,0,0,0.25,0,0,0,0,0.12,0,0,0,0,0,4,3.25,1.88,0,0,1.25,0,1.75,1.75,0,4.62,3.88
11-3131.00,Training and Development Managers,4.38,4.25,4.88,4.5,3.88,4.12,3.88,4.38,3.75,3.88,3.5,3.12,3,3.5,2.62,3,2.62,0.25,2.75,2.75,2.12,1.12,1,2.38,1.12,0.25,0,0,0,0.12,0,0,0,0,1.75,0,0,0,0,0,3.88,3.75,2.38,0,0,1.38,0,1.88,2.38,0,4.38,5
11-9013.01,Nursery and Greenhouse Managers,3.88,3.5,4,3.63,3,3.38,3.88,3.5,3.63,3.5,3.25,2,2.63,2.13,2.13,2.88,2.38,1,3.13,3,2.75,2.75,2.63,2.63,2.63,2.5,1.38,0.88,0.88,0.88,0.88,2.25,0,1.25,2.75,1.88,2.88,0,1.38,1.13,3.25,2.75,2.63,0.88,1,2.13,0.88,2.38,2.38,0.88,3,2.88
11-9013.03,Aquacultural Managers,4.25,3.75,4.25,3.88,3.38,3.38,3.88,3.75,3.63,3.5,3.5,3.13,3.25,2.63,2.25,3,2.88,1,2.88,2.75,2.63,2.75,2.63,2.88,3,2.63,1.63,1.63,1.88,1.13,0.63,1.5,0,1.5,2,0.63,2,0.13,1.25,0.88,3.38,3,2.88,0.88,0.75,2.5,1.63,2.38,2.75,1,3.13,3
11-9021.00,Construction Managers,4.38,4.12,4.12,3.75,3.5,3.5,4.25,4.12,3.5,3.75,3.5,3.75,3.75,2.62,2.75,3.62,3,1.38,4,3.5,3.12,0.12,0.12,2.38,1.88,1.5,0.25,0,2.38,0.12,0,0,0,0,1.5,0,0,0,0.5,1.5,4.12,3.88,3.25,0.12,0,2.5,2,2.25,3.25,0.12,3.62,3.38
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",4.12,4.12,4.38,4,3.38,3.5,3.75,3.62,3.62,3.38,3.12,2.75,2.75,2.88,2.75,2.62,2.62,0.25,2.5,3,2.75,2,0.38,2.12,0,1,0,0,0,0,0,1.12,0,0.88,2,0.88,0.88,0,1,0.88,3.38,2.62,1.88,0,0,1.12,0,1.75,1.62,0.25,3.38,3.38
11-9032.00,"Education Administrators, Elementary and Secondary School",4.5,4.25,4.62,4.38,4,4,4.25,4.38,4,3.5,3.62,3.38,2.75,2.75,2.62,3.12,2.38,0,2.88,3,2.75,0.75,0.12,1.88,0,0.62,1.12,0,0.88,0.12,0.12,1.12,0.62,0.75,2,1,0.62,0.12,1.12,1,3.88,3.25,1.5,0,0,1.25,0,1.75,2.38,0,4.12,3.88
11-9033.00,"Education Administrators, Postsecondary",4.62,4.38,4.62,4.5,4.12,3.88,4,3.88,4.25,3.75,3.5,3.12,3.25,2.88,2.75,2.75,2.62,0,2.38,2.88,2.88,0.62,0.38,1.88,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,3.38,2.5,1.88,0,0,0.5,0,1.75,1.38,0,3.62,4.12
11-9041.00,Architectural and Engineering Managers,4.75,4.62,4.5,4.5,4,4.12,4.38,4.38,4.38,4,3.88,4.12,4.12,2.75,3.12,3.5,3.25,0.62,4.38,3.38,2.62,1.5,1.62,2.5,2,1.25,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,4,3.62,3.12,0,0,2.12,0,1.5,2.25,0,3.88,3.75
11-9051.00,Food Service Managers,4,3.62,4,3.88,3.12,3.25,3.62,3.5,3.38,3.38,3.25,2.75,3,2.5,2.38,2.62,2.5,0,2.62,2.88,2.88,2.62,2.88,2.75,2.25,1.88,1.5,1.25,1,1.25,1.75,2.12,0,1.62,2.5,1.88,2.12,0,1.75,1.12,3.25,2.75,2.38,0,0,2.12,0,2.25,2.5,0,2.88,3.12
11-9071.00,Gaming Managers,4,3.88,4.25,3.63,3.13,3.25,4.38,4.13,4,3.63,3.38,3.38,3.5,2.88,3,3.38,2.75,0.13,1.88,3.75,2.75,1.38,1.13,2,0,1.25,1.5,0,1.75,0,1.25,2.13,1.75,1.25,2.63,1.5,1,0,1.63,1.38,3.13,3.88,2.75,0.38,0.88,1.63,1.38,1.88,2.25,0,3.75,3.88
11-9081.00,Lodging Managers,4,3.88,4,4,3.5,3.5,3.75,3.75,3.25,3.25,3.38,3.25,2.88,2.88,3,3.25,2.62,0.88,3.12,3.12,2.75,2.25,2,2.25,1.88,2.12,1.62,0.62,0.75,0.88,0,1.25,0,1,2,1.25,1.12,0,1.12,0.62,3.88,3.38,2.12,0,0,2.12,0,1.88,1.88,0,4,3.5
11-9111.00,Medical and Health Services Managers,4.38,4.38,4.38,4.25,3.5,3.5,4.12,4,3.88,3.62,3.5,3.75,3.25,2.62,2.5,2.75,2.5,0,2.25,2.88,2.62,0,0,1.62,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,3.75,2.88,2.12,0,0,1.5,0,1.62,1.62,0,3.5,3.5
11-9121.00,Natural Sciences Managers,5.5,5,5,4.75,4.25,4.25,3.88,5,4.5,4,3.88,4,4.13,2,1.88,2.5,2.75,0,2.25,3.13,2,0,0,2.38,1.25,1.25,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,4.13,2.63,2.13,0,0,1.75,0,1.63,1.75,0,3.75,4.75
11-9121.01,Clinical Research Coordinators,4.38,4.38,4.25,4.12,3.12,3.38,4.12,3.88,3.88,3.75,3.62,3.12,3.12,2.75,2.75,2.88,3,0.25,2.88,3.25,2.88,0,0,2.38,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,3.62,3,2.38,0,0,0.88,0,2.12,2.25,0.38,3.75,3.75
11-9121.02,Water Resource Specialists,4,4,4.12,4,3.38,3.38,3.75,4,4,3.62,3.25,3.38,3.5,2.75,2.88,3.38,3.38,0.62,3.25,3.25,2.75,0,0,2.38,1.75,1.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3.75,3.5,2.88,0,0,1.88,0,1.62,1.62,0,3.62,3.5
11-9131.00,Postmasters and Mail Superintendents,3.63,3.63,3.75,3.5,2.63,2.88,3.13,3.25,2.88,3.25,3.13,2.5,2.88,2.25,2.25,2.38,2.38,0,2.38,2.63,2.25,0,0,2.25,0,0,0.25,0,0,0,1.5,0,0,0,1.75,1.25,0,0,1.38,0,3.38,2.5,2.25,0,0,1.5,0,1.88,2,0,3.25,3.13
11-9141.00,"Property, Real Estate, and Community Association Managers",3.88,4.13,4.13,3.63,3,2.88,3.63,3.63,3.25,3.13,3,2.38,2.75,2,2,2.5,1.88,0,2.88,2.88,2.5,0,0,0.5,1,1,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,4,2.63,1.38,0,0,1.88,0,1.38,1.38,0,3.38,3.25
11-9151.00,Social and Community Service Managers,4.5,4.38,4.5,4.38,4.12,4.12,4.25,4.25,3.75,3.62,3.75,3.62,3.62,2.88,2.75,3.12,2.62,0,2.75,3,3.12,1.25,0,2.25,1.38,1.62,0.12,0,0,0.12,0,0.62,0.25,0.75,1.25,1.12,1,0.25,0.88,0.88,4.25,3.25,2,0,0,1.88,0,2,2.38,0,4.25,4.5
11-9161.00,Emergency Management Directors,4.38,4.38,4.38,4.25,4.12,4,4.38,4.38,4.12,4,3.62,2.62,2.88,3,3,3.5,2.75,1.75,3.5,3.25,3,2,1.62,1.88,1.75,1.88,2.12,0.88,1.62,1.12,0.88,1.38,0.75,0.88,1.88,1.12,1,0,1.38,1.25,3.75,3.12,2.38,1.25,1,1.88,1.38,1.75,2.38,1,4,4.25
11-9199.01,Regulatory Affairs Managers,4.12,4.12,4.12,4,3.5,3.38,3.88,3.88,3.5,3.38,3.38,2.38,2.62,2.5,2.62,2.62,2.5,0,2.5,2.75,2.62,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.75,2.5,1.62,0,0,1,0,1.88,1.38,0,3.62,3.5
11-9199.02,Compliance Managers,4.5,4.5,4.25,4.25,3.38,3,4.38,4.5,4.12,3.62,3.62,2.25,2.38,2.75,2.62,2.88,2.75,0,1.5,2.75,2.25,0.88,0.75,2,0.62,0,0,0,0,0,0.88,0,0,0,1.25,0.88,0,0,0.88,0,3.88,2.5,1.38,0,0,0.88,0,1.38,1.75,0,3.75,3.75
11-9199.04,Supply Chain Managers,4.25,4.25,4.25,4,3.38,3.25,4,4,3.75,3.62,3.62,3.5,3.12,2.38,2.5,3.12,2.88,0.25,2.75,2.75,2.88,0.38,0.38,2.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0,0.38,0.38,0.38,0.38,0,0.38,0.38,3.62,3,2,0,0,1.25,0,1.62,1.62,0,3.25,3.38
11-9199.08,Loss Prevention Managers,4.12,4.12,4,4,3.5,3.5,4.12,4,3.88,3.38,3,2.88,3.12,2.38,3.25,3.5,3,0.25,2.62,3.62,2.75,2.12,1.62,2.62,2.12,2,1.38,0,1,0,1.12,1.75,1.25,1,2.12,1.75,1.25,0,1.62,1.88,3.75,3.38,2.38,0,0.38,1.88,0,2.12,2.25,0.25,3.75,3.62
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4,4,4.13,3.88,3.38,3.25,3.75,3.75,3.88,3,2.88,3,2.63,1.88,1.88,2,1.63,0,2.25,2.63,2.5,1,1,1.88,1.25,0.75,0.13,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,3.88,2.38,1.63,0,0,1.13,0.13,1.75,1.75,0.13,3.75,3.38
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.88,3.63,3.88,3.38,3.25,3,3,3.38,3.13,3.25,3.5,3,3.13,2.25,2.38,2.75,2.38,0.5,2,2.63,2.25,2.13,1.63,1.88,1.63,1.75,0.63,0,0,0,0,1.75,0,1.38,1.88,1.25,1,0,1.38,1,3.63,2.88,2.5,0,0,2.13,0,2.25,1.63,0,3.25,3.25
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",4,3.62,4.12,3.75,3.38,3.38,3.5,4,3.38,3.5,3.75,3.62,3.25,2.62,2.5,3,2.75,0,2.38,2.62,2.38,1.75,1.25,2.12,0,1.75,0,0,0,0.25,1,1.62,0,1,2.12,1.62,1.12,0,1.75,0.62,3.5,3.12,3.12,0,0,1,0,1.62,1.62,0,3.88,3.38
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.12,4.12,4.12,4,2.88,3,3.75,4.25,4,3.62,3.38,3.38,3.12,2.75,2.5,2.38,2.12,0.38,1.5,2.75,2.5,1,0.88,1.25,0.62,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,3.5,1.88,1.38,0,0,0.5,0,0.5,1.25,0,3.62,3.25
13-1031.01,"Claims Examiners, Property and Casualty Insurance",4.25,4,4.12,3.75,2.75,2.75,3.5,3.75,4,3.62,3.25,2.88,2.75,2.75,2.5,2.75,2.62,0.25,2.25,3,2.75,1.25,1.12,2.25,0.62,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3.38,2.75,2.12,0,0,1.25,0,1.75,1.88,0,3.38,3.12
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",4.25,4.12,3.88,3.75,2.5,2.25,3.5,3.62,3.75,3.38,3.12,3.62,3.62,1.88,3,3.38,3.12,0.38,3,2.88,2,1.38,1.25,2.38,1.38,0,0.12,0,0,0.12,0,0,0,0,0.25,0,0,0,0,0,4.38,3.38,2.12,0,0.25,1.62,0.25,1.75,1.38,0.25,3.62,3.5
13-1032.00,"Insurance Appraisers, Auto Damage",4.13,4.13,4.25,3.75,2.38,2.25,3.63,3.75,3.5,3.38,3,2.5,2.38,1.13,2.25,2.75,2.25,0.88,2.88,2.75,2.38,1,0.75,1.38,1.25,1.25,0.63,0.38,0.63,0,0.13,0,0,0,0,0,0,0,0,0,3.75,2.5,2.25,0.75,0.63,2.13,0.75,1.75,1.88,0.5,3.13,3.25
13-1041.01,Environmental Compliance Inspectors,4.5,4.5,4.63,4.63,3.25,3.38,4.75,4.5,4.5,3.75,4,3.38,3.25,3,3.25,3.75,3.5,2.38,3.13,3.38,2.88,2.25,2.13,2.75,2.5,2.38,2.25,1.5,2.13,0.13,1.25,1.63,0,1.25,1.63,1.25,1.38,0,1.38,0.88,3.75,3.63,3.5,1.5,1.5,2.75,1.38,2.38,3.25,1.5,4,3.88
13-1041.02,Licensing Examiners and Inspectors,4,4,4.25,3.63,2.75,3,3.63,3.63,3.5,3.38,3,2.38,2.5,2.5,2.75,2.88,3.25,2.13,2.38,2.75,3,2.25,2.25,2.75,2.75,2.25,2.75,1.38,2.75,0.38,1.25,2.13,1.38,1.13,2.13,1.75,2.13,0,2.25,1.75,3.75,3.25,2.63,1.5,1.5,2.63,2.25,2.38,2.75,1.13,3.63,3.63
13-1041.03,Equal Opportunity Representatives and Officers,4.75,4.5,4.63,4.63,4,3.63,4.13,4.38,3.88,3.75,3.63,3.13,3.38,3,3.13,3.38,2.75,0,2.38,2.88,3.13,0,0,2.63,0,0,0.13,0,0.13,0.13,0,0,0,0,0.25,0,0,0,0,0,4.13,3.38,1.88,0.13,0,1.5,0,1.75,2.5,0,4,3.88
13-1041.04,Government Property Inspectors and Investigators,4.38,4.13,4.38,4.25,3.88,3.5,4.13,4.13,4,4,3.75,3,3,3.38,3.25,3.63,3.38,2.75,3.25,3.25,3.5,2.75,2.63,2.63,2.75,2.63,2.63,1.75,2.38,0.38,2.13,2,0,1.5,2.38,1.63,1.38,0,1.88,1.38,4.25,3.88,3.13,1.75,1.75,2.88,2.38,2.63,2.88,1.75,3.63,3.63
13-1041.06,Coroners,4.62,4.12,4.5,4.25,3.38,3,4,4,4.5,4,3.88,2.5,2.62,2.75,3.38,3.88,2.88,0.88,3,3,2.5,3.12,2.75,3.12,2.5,2.5,1.12,0.5,1.88,0.12,0.88,2.5,0,1.88,2.25,1.5,2.12,0,1.75,0.88,4,3.38,3,0.88,0.62,2,1.62,1.5,2.25,0.62,3.75,3.5
13-1041.07,Regulatory Affairs Specialists,4.5,4.5,4.5,4.25,3.62,3.38,4.12,4.25,3.88,4.12,3.62,2.88,3,2.88,3,3.5,3,0,2.38,3,2.12,0.12,0.25,2.38,0.12,0,0.12,0,0,0.12,0,0,0,0,0.25,0,0,0,0,0,4.12,3.12,2.12,0,0,1,0,1.88,2.12,0.38,3.62,3.75
13-1051.00,Cost Estimators,4.25,4,4.25,3.88,3.75,3.25,3.38,4.12,3.5,3.75,3.88,4.12,4.25,2.5,2.5,2.88,2.88,0.25,2.62,3,2.12,0.25,0.12,2.12,0.25,0.12,0.12,0,0.12,0.12,0,0.12,0,0,0.12,0.12,0,0,0.25,0.12,4.12,3,1.88,0.12,0,1.38,0.12,1.88,1.38,0,3.75,3.38
13-1071.00,Human Resources Specialists,4,4,3.88,3.88,3.12,3.12,3.62,4,3.62,3.5,3.5,2.25,2.5,2.5,2.5,3,2.5,0,2,2.38,2.12,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,3.75,2.38,1.12,0,0,0,0,1.38,1.62,0,3.62,3.62
13-1074.00,Farm Labor Contractors,3.25,3,3.38,3,2.12,2,3.25,2.88,2.88,2.75,2.5,1.88,2.12,1.75,1.5,2.25,2.25,1.62,1.75,2.75,2.75,2.38,2.5,1.5,3,3,2.5,2.38,2.38,0.25,2,2.12,0,1.5,2.5,2.12,1.5,0,2,1.12,3.12,2.62,2.25,1.5,2,2.12,1.5,1.88,2,1,3.5,3.12
13-1081.00,Logisticians,4.13,3.88,4,3.75,3.75,3.88,3.75,4.5,4,3.38,3.25,3.38,3.25,2.88,2.75,2.88,2.88,0,3.25,2.75,2.25,0,0,2.75,0,0,0.13,0,0,0.38,0,0,0,0,0.25,0,0,0,0,0,4,3.5,2,0,0,0,0,1.88,1.88,0,3.75,3.5
13-1081.01,Logistics Engineers,4.12,4.25,4.12,4.12,4,4,4.12,4.12,4.12,3.75,3.75,4.12,3.88,3.12,3.12,3,3,0.5,3.5,3.38,2.75,2.5,1.62,3.12,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4,3.12,2.75,0,0,2.12,0,2.12,2.5,0,3.62,3.88
13-1081.02,Logistics Analysts,4.12,3.75,4.12,3.75,3.5,3.88,3.88,4,3.75,3.75,4,4.12,3.75,2.62,2.88,3.38,2.88,0.5,3.12,3,2.25,0.25,0.12,1.75,0.38,0.12,0.25,0.12,0.12,0.25,0,0,0,0,0.38,0,0,0,0,0,3.5,2.5,1.62,0,0,1,0,1.5,2.25,0,3.12,2.88
13-1111.00,Management Analysts,4.38,4.38,4.5,4.38,3.5,3.38,3.63,4.25,4.25,3.75,3.38,3,3,2.38,2.63,2.38,2,0,2.5,2.88,2.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,3.88,2.13,1,0,0,0.5,0,1.25,1.25,0,3.25,3.25
13-1121.00,"Meeting, Convention, and Event Planners",4.12,4.12,4.12,3.75,3.38,3.5,3.88,3.5,3.5,3.38,3.12,2.75,2.75,1.88,2.25,2.62,2.62,1.38,3.12,2.88,2.62,2.25,2.12,2.38,1.88,2.25,1.12,1,1.12,0,1.62,2,0,1.62,2.25,2,1.62,0,2,1.25,3.5,3,2.38,0.88,1.38,2.12,1.12,1.5,1.62,1.12,3.62,3.5
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4.25,4.12,4.12,4,3.38,3.38,3.88,4.12,3.75,3.62,3.75,3.5,3.5,2.62,3,3.12,2.62,0,2.5,2.75,2,1.12,1.25,2.5,1.38,0,0,0,0,0.12,0,0,0,0,0.25,0,0,0,0,0,4.12,3.12,1.62,0,0,0.75,0,1.62,1.5,0.25,3.62,3.62
13-1151.00,Training and Development Specialists,4.25,3.88,4.25,4.12,3.5,3.75,3.5,3.62,3.38,3.38,3.38,2.5,2.5,3,2.38,2.62,2.12,0,2.12,2.75,2.62,0.25,0,1.88,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,3.5,3.38,2.25,0.25,0,0.62,0,2.12,1.62,0,3.25,4.38
13-1161.00,Market Research Analysts and Marketing Specialists,4.5,4.5,4.5,4.5,3.88,3.25,3.75,4.38,4,3.62,3.88,4,3.75,2.75,2.75,3.38,2.88,0,2.75,3,2.25,0.12,0,2.25,0,0,0,0,0,0.12,0,0,0,0,0.38,0,0,0,0,0,4,3.38,2.25,0,0,1,0,1.88,1.75,0,3.62,3.5
13-1199.01,Energy Auditors,4,4,4.25,4.12,3.5,3.12,3.62,3.62,3.62,3.62,3.75,3.88,3.88,2.75,2.38,3,3.38,1.12,2.75,3,2.62,2.75,2.62,3,2.75,2.62,1.88,1.88,2.25,1.25,1.25,2.25,0,1.75,2.5,2,2.88,0,1.88,2.38,3.62,3.12,2.62,1.62,1.5,2.12,1.38,2.5,2.12,1.12,3.12,3.25
