Space-Time Research										
"Employed Persons (ST E13_Aug96_ANZSCO06) by Occupation Major Group, State, Age, Sex - from August 1996 Copyright © Commonwealth of Australia 2013  "										
Table 1										
"Employed ft, pt, total and Sex by Month by ANZSCO06 major group"										
										
			Managers	Professionals	Technicians and Trades Workers	Community and Personal Service Workers	Clerical and Administrative Workers	Sales Workers	Machinery Operators And Drivers	Labourers
Employed Full Time ('000)	Males	February Quarter 2007	834	915	1248	201	358	255	568	519
Employed Full Time ('000)	Males	May Quarter 2007	839	929	1263	205	349	249	572	518
Employed Full Time ('000)	Males	August Quarter 2007	850	920	1269	198	341	247	586	509
Employed Full Time ('000)	Males	November Quarter 2007	849	938	1286	197	332	251	608	517
Employed Full Time ('000)	Males	February Quarter 2008	835	959	1322	204	360	260	576	529
Employed Full Time ('000)	Males	May Quarter 2008	851	953	1296	198	342	264	580	522
Employed Full Time ('000)	Males	August Quarter 2008	869	970	1326	199	348	262	582	516
Employed Full Time ('000)	Males	November Quarter 2008	826	983	1331	214	356	253	595	522
Employed Full Time ('000)	Males	February Quarter 2009	853	981	1330	203	357	231	586	502
Employed Full Time ('000)	Males	May Quarter 2009	875	941	1280	214	352	236	567	487
Employed Full Time ('000)	Males	August Quarter 2009	888	966	1226	199	351	251	560	501
Employed Full Time ('000)	Males	November Quarter 2009	891	1014	1250	205	340	251	547	499
Employed Full Time ('000)	Males	February Quarter 2010	914	1031	1275	198	338	237	566	510
Employed Full Time ('000)	Males	May Quarter 2010	928	975	1279	189	350	256	578	505
Employed Full Time ('000)	Males	August Quarter 2010	903	986	1302	204	345	266	574	494
Employed Full Time ('000)	Males	November Quarter 2010	900	984	1331	218	363	273	567	544
Employed Full Time ('000)	Males	February Quarter 2011	860	1069	1351	212	371	265	574	547
Employed Full Time ('000)	Males	May Quarter 2011	889	1059	1335	214	334	246	586	510
Employed Full Time ('000)	Males	August Quarter 2011	891	1033	1276	218	350	257	613	512
Employed Full Time ('000)	Males	November Quarter 2011	895	998	1297	230	356	257	651	507
Employed Full Time ('000)	Males	February Quarter 2012	899	1063	1321	227	357	248	609	528
Employed Full Time ('000)	Males	May Quarter 2012	908	1074	1318	220	357	242	602	505
Employed Full Time ('000)	Males	August Quarter 2012	883	1070	1316	219	339	258	605	508
Employed Full Time ('000)	Males	November Quarter 2012	885	1086	1326	242	350	241	640	506
Employed Full Time ('000)	Males	February Quarter 2013	880	1069	1328	225	365	266	640	509
Employed Full Time ('000)	Males	May Quarter 2013	909	1058	1322	238	372	244	609	502
