ANZSCO4,Title,ONET,ONET.Title,Available.WA,Alt.ONET,Alt.ONET.Title
2421,University Lecturers and Tutors,25-1011.00,"Business Teachers, Postsecondary",Yes,25-1011.00,"Business Teachers, Postsecondary"
2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),25-1194.00,"Vocational Education Teachers, Postsecondary",Yes,25-1194.00,"Vocational Education Teachers, Postsecondary"
2491,Education Advisers and Reviewers,25-9031.00,Instructional Coordinators,Yes,25-9031.00,Instructional Coordinators
2492,Private Tutors and Teachers,25-1191.00,Graduate Teaching Assistants,Yes,25-1191.00,Graduate Teaching Assistants
2493,Teachers of English to Speakers of Other Languages,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Yes,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
2511,Dietitians,29-1031.00,Dietitians and Nutritionists,Yes,29-1031.00,Dietitians and Nutritionists
2512,Medical Imaging Professionals,29-2032.00,Diagnostic Medical Sonographers,Yes,29-2032.00,Diagnostic Medical Sonographers
2513,Occupational and Environmental Health Professionals,29-9011.00,Occupational Health and Safety Specialists,Yes,29-9011.00,Occupational Health and Safety Specialists
2514,Optometrists and Orthoptists,29-1041.00,Optometrists,Yes,29-1041.00,Optometrists
2515,Pharmacists,29-1051.00,Pharmacists,Yes,29-1051.00,Pharmacists
2519,Other Health Diagnostic and Promotion Professionals,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other",No,29-1199.01,Acupuncturists
2521,Chiropractors and Osteopaths,29-1011.00,Chiropractors,Yes,29-1011.00,Chiropractors
2522,Complementary Health Therapists,29-1129.00,"Therapists, All Other",No,29-1123.00,Physical Therapists
2523,Dental Practitioners,29-1021.00,"Dentists, General",Yes,29-1021.00,"Dentists, General"
2524,Occupational Therapists,29-1122.00,Occupational Therapists,Yes,29-1122.00,Occupational Therapists
2525,Physiotherapists,29-1123.00,Physical Therapists,Yes,29-1123.00,Physical Therapists
2526,Podiatrists,29-1081.00,Podiatrists,Yes,29-1081.00,Podiatrists
2527,Speech Professionals and Audiologists,29-1181.00,Audiologists,Yes,29-1181.00,Audiologists
2531,Generalist Medical Practitioners,29-1062.00,Family and General Practitioners,Yes,29-1062.00,Family and General Practitioners
2532,Anaesthetists,29-1061.00,Anesthesiologists,Yes,29-1061.00,Anesthesiologists
2533,Specialist Physicians,29-1062.00,Family and General Practitioners,Yes,29-1062.00,Family and General Practitioners
2534,Psychiatrists,29-1066.00,Psychiatrists,Yes,29-1066.00,Psychiatrists
2535,Surgeons,29-1067.00,Surgeons,Yes,29-1067.00,Surgeons
2539,Other Medical Practitioners,29-1069.00,"Physicians and Surgeons, All Other",No,29-1062.00,Family and General Practitioners
2541,Midwives,29-9099.01,Midwives,Yes,29-9099.01,Midwives
2542,Nurse Educators and Researchers,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Yes,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
2543,Nurse Managers,29-1141.00,Registered Nurses,Yes,29-1141.00,Registered Nurses
2544,Registered Nurses,29-1141.00,Registered Nurses,Yes,29-1141.00,Registered Nurses
2611,ICT Business and Systems Analysts,15-1121.00,Computer Systems Analysts,Yes,15-1121.00,Computer Systems Analysts
2612,Multimedia Specialists and Web Developers,15-1134.00,Web Developers,Yes,15-1134.00,Web Developers
2613,Software and Applications Programmers,15-1132.00,"Software Developers, Applications",Yes,15-1132.00,"Software Developers, Applications"
2621,"Database and Systems Administrators, and ICT Security Specialists",15-1141.00,Database Administrators,Yes,15-1141.00,Database Administrators
2631,Computer Network Professionals,15-1152.00,Computer Network Support Specialists,No,15-1151.00,Computer User Support Specialists
2632,ICT Support and Test Engineers,15-1199.01,Software Quality Assurance Engineers and Testers,Yes,15-1199.01,Software Quality Assurance Engineers and Testers
2633,Telecommunications Engineering Professionals,15-1143.01,Telecommunications Engineering Specialists,No,15-1199.02,Computer Systems Engineers/Architects
2711,Barristers,23-1011.00,Lawyers,Yes,23-1011.00,Lawyers
2712,Judicial and Other Legal Professionals,23-1012.00,Judicial Law Clerks,Yes,23-1012.00,Judicial Law Clerks
2713,Solicitors,23-1011.00,Lawyers,Yes,23-1011.00,Lawyers
2721,Counsellors,21-1019.00,"Counselors, All Other",No,19-3031.03,Counseling Psychologists
2722,Ministers of Religion,21-2011.00,Clergy,Yes,21-2011.00,Clergy
2723,Psychologists,19-3031.02,Clinical Psychologists,Yes,19-3031.02,Clinical Psychologists
2724,Social Professionals,19-3041.00,Sociologists,Yes,19-3041.00,Sociologists
2725,Social Workers,21-1029.00,"Social Workers, All Other",No,21-1021.00,"Child, Family, and School Social Workers"
2726,"Welfare, Recreation and Community Arts Workers",21-1099.00,"Community and Social Service Specialists, All Other",No,21-1093.00,Social and Human Service Assistants
3111,Agricultural Technicians,45-2091.00,Agricultural Equipment Operators,Yes,45-2091.00,Agricultural Equipment Operators
3112,Medical Technicians,51-9082.00,Medical Appliance Technicians,Yes,51-9082.00,Medical Appliance Technicians
3113,Primary Products Inspectors,19-4011.01,Agricultural Technicians,Yes,19-4011.01,Agricultural Technicians
3114,Science Technicians,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",No,19-4031.00,Chemical Technicians
3121,"Architectural, Building and Surveying Technicians",17-3031.01,Surveying Technicians,Yes,17-3031.01,Surveying Technicians
3122,Civil Engineering Draftspersons and Technicians,17-3022.00,Civil Engineering Technicians,Yes,17-3022.00,Civil Engineering Technicians
3123,Electrical Engineering Draftspersons and Technicians,17-3023.03,Electrical Engineering Technicians,Yes,17-3023.03,Electrical Engineering Technicians
3124,Electronic Engineering Draftspersons and Technicians,17-3023.01,Electronics Engineering Technicians,Yes,17-3023.01,Electronics Engineering Technicians
3125,Mechanical Engineering Draftspersons and Technicians,17-3027.00,Mechanical Engineering Technicians,Yes,17-3027.00,Mechanical Engineering Technicians
3126,Safety Inspectors,17-2111.01,Industrial Safety and Health Engineers,Yes,17-2111.01,Industrial Safety and Health Engineers
3129,Other Building and Engineering Technicians,17-3029.05,Industrial Engineering Technologists,Yes,17-3029.05,Industrial Engineering Technologists
3131,ICT Support Technicians,15-1151.00,Computer User Support Specialists,Yes,15-1151.00,Computer User Support Specialists
3132,Telecommunications Technical Specialists,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Yes,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
3211,Automotive Electricians,49-3023.02,Automotive Specialty Technicians,Yes,49-3023.02,Automotive Specialty Technicians
3212,Motor Mechanics,49-3023.01,Automotive Master Mechanics,Yes,49-3023.01,Automotive Master Mechanics
3221,"Metal Casting, Forging and Finishing Trades Workers",51-2041.00,Structural Metal Fabricators and Fitters,Yes,51-2041.00,Structural Metal Fabricators and Fitters
3222,Sheetmetal Trades Workers,47-2211.00,Sheet Metal Workers,Yes,47-2211.00,Sheet Metal Workers
3223,Structural Steel and Welding Trades Workers,47-2221.00,Structural Iron and Steel Workers,Yes,47-2221.00,Structural Iron and Steel Workers
3231,Aircraft Maintenance Engineers,49-3011.00,Aircraft Mechanics and Service Technicians,Yes,49-3011.00,Aircraft Mechanics and Service Technicians
3232,Metal Fitters and Machinists,51-4041.00,Machinists,Yes,51-4041.00,Machinists
3233,Precision Metal Trades Workers,51-4192.00,"Layout Workers, Metal and Plastic",Yes,51-4192.00,"Layout Workers, Metal and Plastic"
3234,Toolmakers and Engineering Patternmakers,51-4194.00,"Tool Grinders, Filers, and Sharpeners",Yes,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
3241,Panelbeaters,49-3021.00,Automotive Body and Related Repairers,Yes,49-3021.00,Automotive Body and Related Repairers
3242,Vehicle Body Builders and Trimmers,49-3021.00,Automotive Body and Related Repairers,Yes,49-3021.00,Automotive Body and Related Repairers
3243,Vehicle Painters,51-9122.00,"Painters, Transportation Equipment",Yes,51-9122.00,"Painters, Transportation Equipment"
3311,Bricklayers and Stonemasons,47-2021.00,Brickmasons and Blockmasons,Yes,47-2021.00,Brickmasons and Blockmasons
3312,Carpenters and Joiners,47-2031.00,Carpenters,No,47-2031.01,Construction Carpenters
3321,Floor Finishers,47-2043.00,Floor Sanders and Finishers,Yes,47-2043.00,Floor Sanders and Finishers
3322,Painting Trades Workers,51-9123.00,"Painting, Coating, and Decorating Workers",Yes,51-9123.00,"Painting, Coating, and Decorating Workers"
3331,Glaziers,47-2121.00,Glaziers,Yes,47-2121.00,Glaziers
3332,Plasterers,47-2161.00,Plasterers and Stucco Masons,Yes,47-2161.00,Plasterers and Stucco Masons
3333,Roof Tilers,47-2181.00,Roofers,Yes,47-2181.00,Roofers
3334,Wall and Floor Tilers,47-2044.00,Tile and Marble Setters,Yes,47-2044.00,Tile and Marble Setters
3341,Plumbers,47-2152.02,Plumbers,Yes,47-2152.02,Plumbers
3411,Electricians,47-2111.00,Electricians,Yes,47-2111.00,Electricians
3421,Airconditioning and Refrigeration Mechanics,49-9021.01,Heating and Air Conditioning Mechanics and Installers,Yes,49-9021.01,Heating and Air Conditioning Mechanics and Installers
3422,Electrical Distribution Trades Workers,49-9051.00,Electrical Power-Line Installers and Repairers,Yes,49-9051.00,Electrical Power-Line Installers and Repairers
3423,Electronics Trades Workers,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Yes,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
3424,Telecommunications Trades Workers,49-9052.00,Telecommunications Line Installers and Repairers,Yes,49-9052.00,Telecommunications Line Installers and Repairers
3511,Bakers and Pastrycooks,51-3011.00,Bakers,Yes,51-3011.00,Bakers
3512,Butchers and Smallgoods Makers,51-3011.00,Bakers,Yes,51-3011.00,Bakers
3513,Chefs,35-1011.00,Chefs and Head Cooks,Yes,35-1011.00,Chefs and Head Cooks
3514,Cooks,35-2019.00,"Cooks, All Other",No,35-2014.00,"Cooks, Restaurant"
3611,Animal Attendants and Trainers,39-2011.00,Animal Trainers,Yes,39-2011.00,Animal Trainers
3612,Shearers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Yes,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
3613,Veterinary Nurses,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Yes,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
3621,Florists,27-1023.00,Floral Designers,Yes,27-1023.00,Floral Designers
3622,Gardeners,37-3011.00,Landscaping and Groundskeeping Workers,Yes,37-3011.00,Landscaping and Groundskeeping Workers
3623,Greenkeepers,37-3011.00,Landscaping and Groundskeeping Workers,Yes,37-3011.00,Landscaping and Groundskeeping Workers
3624,Nurserypersons,45-2092.01,Nursery Workers,Yes,45-2092.01,Nursery Workers
3911,Hairdressers,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Yes,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
3921,Print Finishers and Screen Printers,51-9194.00,Etchers and Engravers,Yes,51-9194.00,Etchers and Engravers
3922,Graphic Pre-press Trades Workers,51-5111.00,Prepress Technicians and Workers,Yes,51-5111.00,Prepress Technicians and Workers
3923,Printers,51-5112.00,Printing Press Operators,Yes,51-5112.00,Printing Press Operators
3931,Canvas and Leather Goods Makers,51-6041.00,Shoe and Leather Workers and Repairers,Yes,51-6041.00,Shoe and Leather Workers and Repairers
3932,Clothing Trades Workers,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",No,51-6092.00,Fabric and Apparel Patternmakers
3933,Upholsterers,51-6093.00,Upholsterers,Yes,51-6093.00,Upholsterers
3941,Cabinetmakers,51-7011.00,Cabinetmakers and Bench Carpenters,Yes,51-7011.00,Cabinetmakers and Bench Carpenters
3942,Wood Machinists and Other Wood Trades Workers,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Yes,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
3991,Boat Builders and Shipwrights,49-9096.00,Riggers,Yes,49-9096.00,Riggers
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",51-8013.00,Power Plant Operators,Yes,51-8013.00,Power Plant Operators
3993,"Gallery, Library and Museum Technicians",25-4031.00,Library Technicians,Yes,25-4031.00,Library Technicians
3994,Jewellers,51-9071.01,Jewelers,Yes,51-9071.01,Jewelers
3995,Performing Arts Technicians,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",No,27-4011.00,Audio and Video Equipment Technicians
3996,Signwriters,51-5113.00,Print Binding and Finishing Workers,Yes,51-5113.00,Print Binding and Finishing Workers
3999,Other Miscellaneous Technicians and Trades Workers,51-9199.00,"Production Workers, All Other",No,27-4014.00,Sound Engineering Technicians
4111,Ambulance Officers and Paramedics,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Yes,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
4112,"Dental Hygienists, Technicians and Therapists",29-2021.00,Dental Hygienists,Yes,29-2021.00,Dental Hygienists
4113,Diversional Therapists,29-1125.00,Recreational Therapists,Yes,29-1125.00,Recreational Therapists
4114,Enrolled and Mothercraft Nurses,29-1171.00,Nurse Practitioners,Yes,29-1171.00,Nurse Practitioners
4115,Indigenous Health Workers,29-1171.00,Nurse Practitioners,Yes,29-1171.00,Nurse Practitioners
4116,Massage Therapists,31-9011.00,Massage Therapists,Yes,31-9011.00,Massage Therapists
4117,Welfare Support Workers,21-1022.00,Healthcare Social Workers,Yes,21-1022.00,Healthcare Social Workers
4211,Child Carers,39-9011.00,Childcare Workers,Yes,39-9011.00,Childcare Workers
4221,Education Aides,25-9041.00,Teacher Assistants,Yes,25-9041.00,Teacher Assistants
4231,Aged and Disabled Carers,39-9021.00,Personal Care Aides,Yes,39-9021.00,Personal Care Aides
4232,Dental Assistants,31-9091.00,Dental Assistants,Yes,31-9091.00,Dental Assistants
4233,Nursing Support and Personal Care Workers,39-9021.00,Personal Care Aides,Yes,39-9021.00,Personal Care Aides
4234,Special Care Workers,39-9021.00,Personal Care Aides,Yes,39-9021.00,Personal Care Aides
4311,Bar Attendants and Baristas,35-3011.00,Bartenders,Yes,35-3011.00,Bartenders
4312,Cafe Workers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Yes,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
4313,Gaming Workers,39-3019.00,"Gaming Service Workers, All Other",No,39-3011.00,Gaming Dealers
4314,Hotel Service Managers,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Yes,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
4315,Waiters,35-3031.00,Waiters and Waitresses,Yes,35-3031.00,Waiters and Waitresses
4319,Other Hospitality Workers,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Yes,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
4411,Defence Force Members - Other Ranks,55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",No,10,#N/A
4412,Fire and Emergency Workers,33-2011.00,Firefighters,No,33-2011.01,Municipal Firefighters
4413,Police,33-3051.01,Police Patrol Officers,Yes,33-3051.01,Police Patrol Officers
4421,Prison Officers,33-3012.00,Correctional Officers and Jailers,Yes,33-3012.00,Correctional Officers and Jailers
4422,Security Officers and Guards,33-9032.00,Security Guards,Yes,33-9032.00,Security Guards
4511,Beauty Therapists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Yes,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
4512,Driving Instructors,25-3099.00,"Teachers and Instructors, All Other",No,25-3021.00,Self-Enrichment Education Teachers
4513,Funeral Workers,39-4021.00,Funeral Attendants,Yes,39-4021.00,Funeral Attendants
4514,"Gallery, Museum and Tour Guides",39-7011.00,Tour Guides and Escorts,Yes,39-7011.00,Tour Guides and Escorts
4515,Personal Care Consultants,39-9099.00,"Personal Care and Service Workers, All Other",No,39-9021.00,Personal Care Aides
4516,Tourism and Travel Advisers,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Yes,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
4517,Travel Attendants,53-6061.00,"Transportation Attendants, Except Flight Attendants",Yes,53-6061.00,"Transportation Attendants, Except Flight Attendants"
4518,Other Personal Service Workers,39-9099.00,"Personal Care and Service Workers, All Other",No,39-9021.00,Personal Care Aides
4521,Fitness Instructors,39-9031.00,Fitness Trainers and Aerobics Instructors,Yes,39-9031.00,Fitness Trainers and Aerobics Instructors
4522,Outdoor Adventure Guides,39-7011.00,Tour Guides and Escorts,Yes,39-7011.00,Tour Guides and Escorts
4523,"Sports Coaches, Instructors and Officials",27-2023.00,"Umpires, Referees, and Other Sports Officials",Yes,27-2023.00,"Umpires, Referees, and Other Sports Officials"
4524,Sportspersons,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",No,27-2021.00,Athletes and Sports Competitors
5111,"Contract, Program and Project Administrators",43-5061.00,"Production, Planning, and Expediting Clerks",Yes,43-5061.00,"Production, Planning, and Expediting Clerks"
5121,Office Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Yes,43-6011.00,Executive Secretaries and Executive Administrative Assistants
