"","CCLO","COMBINED1","Information.Content","Automation.Routinization","No.Face.to.Face","No.On.Site.Work","No.Decision.Making","Population","COMBINED1.Title"
"20",39,10,0.424187017402416,0.781858953930193,0.114467504932458,-1.58784111877831,-0.0261031456748746,162341,"Electrotechnology and Telecommunications trades workers"
"21",25,11,0.602072905317165,0.645922046359895,0.300738026223618,1.17174645037965,1.09512855297889,2356402,"Office support, clerical and postal workers"
"22",14,11,0.602072905317165,0.645922046359895,0.300738026223618,1.17174645037965,1.09512855297889,2356402,"Office support, clerical and postal workers"
"23",15,11,0.602072905317165,0.645922046359895,0.300738026223618,1.17174645037965,1.09512855297889,2356402,"Office support, clerical and postal workers"
"24",26,11,0.602072905317165,0.645922046359895,0.300738026223618,1.17174645037965,1.09512855297889,2356402,"Office support, clerical and postal workers"
"25",19,12,0.855939725807393,-0.37052884469282,-0.959272061266416,-0.975550546338282,-1.66746337310689,117091,"Farmers/farm managers"
"26",20,13,-1.76763967262928,1.47493956956407,1.25399638270722,-0.592565038841375,1.2616367177403,87482,"Farm/rural/garden workers"
"27",21,13,-1.76763967262928,1.47493956956407,1.25399638270722,-0.592565038841375,1.2616367177403,87482,"Farm/rural/garden workers"
"28",50,14,-1.55241797197775,0.19490579132512,1.1885992701194,0.0946072499075554,1.9694456113167,148519,"Storepersons, freight handlers"
"29",51,15,-0.966282439382027,1.04393136168315,1.10265629766382,-1.11865894103581,0.699031100726415,1154871,"Labourers"
"30",41,16,-1.5317969205733,0.607727703814721,1.02470164825822,-0.942209088001195,0.356452943067951,251908,"Construction trades workers"
"31",43,16,-1.5317969205733,0.607727703814721,1.02470164825822,-0.942209088001195,0.356452943067951,251908,"Construction trades workers"
"32",45,17,-1.19710617590285,1.16868898802644,0.427631486731707,-0.0630169380544971,0.498824859989035,224120,"Food trades workers"
"33",8,18,0.763815206863381,0.0106319843272703,-0.127685379554642,1.08792804299538,-0.667553149629814,63670,"Arts and media professionals"
"34",42,18,0.763815206863381,0.0106319843272703,-0.127685379554642,1.08792804299538,-0.667553149629814,63670,"Arts and media professionals"
"35",59,18,0.763815206863381,0.0106319843272703,-0.127685379554642,1.08792804299538,-0.667553149629814,63670,"Arts and media professionals"
"36",54,19,0.0286065420344433,-0.406355577083128,-1.21079628436656,0.439458925103577,-0.652640283140508,344913,"Hospitality workers"
"37",33,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"38",34,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"39",35,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"40",44,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"41",46,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"42",47,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"43",56,20,-0.688301658232366,0.601682006326541,1.13072317255495,-0.85377795721077,0.622407760078862,252888,"Other technicians and trades workers"
"44",16,21,0.587232179845547,-1.24146298824211,-0.878790639599301,1.49459359254574,-0.295902963928248,238167,"Sales representatives and agents"
"45",17,21,0.587232179845547,-1.24146298824211,-0.878790639599301,1.49459359254574,-0.295902963928248,238167,"Sales representatives and agents"
"46",13,22,-0.0424468069905058,-0.48953753007862,-0.660227678862394,0.707739245543867,0.408310411888202,1091523,"Sales assistants and support workers"
"47",18,22,-0.0424468069905058,-0.48953753007862,-0.660227678862394,0.707739245543867,0.408310411888202,1091523,"Sales assistants and support workers"
"48",36,23,-0.265647172400414,0.440285376239491,1.15771849022,-1.55764100100853,0.142572983862771,473665,"Automotive and Engineering trades workers"
"49",38,23,-0.265647172400414,0.440285376239491,1.15771849022,-1.55764100100853,0.142572983862771,473665,"Automotive and Engineering trades workers"
"50",40,23,-0.265647172400414,0.440285376239491,1.15771849022,-1.55764100100853,0.142572983862771,473665,"Automotive and Engineering trades workers"
"51",53,24,-1.53175817759284,-0.493706880558903,0.703637179700795,0.168850243264545,1.58711764375932,252119,"Cleaners and caretakers"
"52",55,24,-1.53175817759284,-0.493706880558903,0.703637179700795,0.168850243264545,1.58711764375932,252119,"Cleaners and caretakers"
"53",57,24,-1.53175817759284,-0.493706880558903,0.703637179700795,0.168850243264545,1.58711764375932,252119,"Cleaners and caretakers"
"54",58,25,-0.252101246088516,-0.326178622932656,-0.837458708217874,0.533831382547143,0.431960742552511,690588,"Sports and personal service workers"
"55",60,25,-0.252101246088516,-0.326178622932656,-0.837458708217874,0.533831382547143,0.431960742552511,690588,"Sports and personal service workers"
"56",48,26,-0.326976891883678,2.23871927599565,1.12331810961806,-0.941105478142744,0.83204887252825,221114,"Factory process workers"
"57",52,27,0.180424399961985,0.0672256879616237,-1.06961907908267,-0.0049812439271807,-0.286358683613434,176805,"Protective service workers"
"58",22,28,-0.87098261025672,1.04408316595003,1.13694457040729,-1.19829383754321,0.836487040479747,1258173,"Machine operators"
"59",49,28,-0.87098261025672,1.04408316595003,1.13694457040729,-1.19829383754321,0.836487040479747,1258173,"Machine operators"
